date	weight
2019-06-18	232.4
2019-06-19  233.8
2019-06-20	234
2019-06-21	232
2019-06-22	232
2019-06-23	232
2019-06-24	230.6
2019-06-25	230
2019-06-26	231.6
2019-06-27	232
2019-06-28	231.6
2019-06-29	229.4
2019-06-30	230.4
2019-07-01	231.8
2019-07-02	229
2019-07-03	229
2019-07-04	229
2019-07-05	231.4
2019-07-06	231.4
2019-07-07	229.3
2019-07-08	227.2
2019-07-09	227
2019-07-10	228.4
2019-07-11	227.3
2019-07-12	228.4
2019-07-13	229.6
2019-07-14	229.2
2019-07-15	227
2019-07-16	227.4
2019-07-17	229
2019-07-18	229
2019-07-19	228.5
2019-07-20	228.5
2019-07-21	228.5
2019-07-22	228.2
2019-07-23	228.2
2019-07-24	229
2019-07-25	227.8
2019-07-26	227.8
2019-07-27	227.8
2019-07-28	226.2
2019-07-29	224.6
2019-07-30	226.2
2019-07-31	226
2019-08-01	227
2019-08-02	227
2019-08-03	226.4
2019-08-04	225
2019-08-05	225.4
2019-08-06	225.5
2019-08-07	225.7
2019-08-08	225.8
2019-08-09	225
2019-08-10	224.4
2019-08-11	224.8
2019-08-12	224.6
2019-08-13	224.4
2019-08-14	224.4
2019-08-15	224.2
2019-08-16	NaN
2019-08-17	NaN
2019-08-18	NaN
2019-08-19	NaN
2019-08-20	NaN
2019-08-21	NaN
2019-08-22	NaN
2019-08-23	NaN
2019-08-24	NaN
2019-08-25	NaN
2019-08-26	NaN
2019-08-27	NaN
2019-08-28	NaN
2019-08-29	NaN
2019-08-30	NaN
2019-08-31	NaN
2019-09-01	223.6
2019-09-02	221.4
2019-09-03	NaN
2019-09-04	NaN
2019-09-05	NaN
2019-09-06	NaN
2019-09-07	NaN
2019-09-08	223
2019-09-09	223
2019-09-10	222.8
2019-09-11	221.4
2019-09-12	221.4
2019-09-13	221.4
2019-09-14	222.8
2019-09-15	221.8
2019-09-16	221
2019-09-17	219.8
2019-09-18	220.8
2019-09-19	219.6
2019-09-20	222
2019-09-21	221.6
2019-09-22	222
2019-09-23	223.6
2019-09-24	221.6
2019-09-25	220.8
2019-09-26	221.4
2019-09-27	221
2019-09-28	222.2
